词法分析，分析出单词数量：53

序号     单词         类型编码          类型符号            实际类型

1        #               9              neq                 运算符              
2        define          1              ident               标识符              
3        norw            1              ident               标识符              
4        13              2              number              常数                
5        #               9              neq                 运算符              
6        define          1              ident               标识符              
7        norw            1              ident               标识符              
8        13              2              number              常数                
9        int             1              ident               标识符              
10       S               0              nul                 未知                
11       ym              1              ident               标识符              
12       N               0              nul                 未知                
13       umber           1              ident               标识符              
14       [               0              nul                 未知                
15       5000            2              number              常数                
16       ]               0              nul                 未知                
17       ;               17             semicolon           界符                
18       char            1              ident               标识符              
19       S               0              nul                 未知                
20       ym              1              ident               标识符              
21       N               0              nul                 未知                
22       ame             1              ident               标识符              
23       [               0              nul                 未知                
24       5000            2              number              常数                
25       ]               0              nul                 未知                
26       [               0              nul                 未知                
27       30              2              number              常数                
28       ]               0              nul                 未知                
29       ;               17             semicolon           界符                
30       char            1              ident               标识符              
31       S               0              nul                 未知                
32       ym              1              ident               标识符              
33       V               0              nul                 未知                
34       alue            1              ident               标识符              
35       [               0              nul                 未知                
36       5000            2              number              常数                
37       ]               0              nul                 未知                
38       [               0              nul                 未知                
39       30              2              number              常数                
40       ]               0              nul                 未知                
41       ;               17             semicolon           界符                
42       char            1              ident               标识符              
43       S               0              nul                 未知                
44       ym              1              ident               标识符              
45       C               0              nul                 未知                
46       ate             1              ident               标识符              
47       [               0              nul                 未知                
48       5000            2              number              常数                
49       ]               0              nul                 未知                
50       [               0              nul                 未知                
51       30              2              number              常数                
52       ]               0              nul                 未知                
53       ;               17             semicolon           界符                
